serial_number,date,tyre_code,description,qty
032025-05129,3/19/2025,155051,12.00 - 20 (8.00) ATIRE ROCK SOLID BLACK STD,0
032025-05130,3/19/2025,138161,8.25 - 15 (6.50) ACHIEVER PLUS (WIDE) BLACK STD,0
032025-05131,3/19/2025,139162,300-15 (8.00) ACHIEVER PLUS (WIDE) BLACK CLIP,0
032025-05132,3/19/2025,140051,355/65 - 15 (9.75) ATIRE ROCK SOLID BLACK STD,0
032025-05133,3/19/2025,712073,16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM,0
032025-05134,3/19/2025,720071,21 x 8 x 15 ATIRE RUNNER BAND BLACK SM,0
032025-05135,3/19/2025,103043,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05136,3/19/2025,103043,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05137,3/19/2025,104043,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05138,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05139,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05140,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05141,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05142,3/19/2025,125041,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05143,3/19/2025,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05144,3/19/2025,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05145,3/19/2025,119042,6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05146,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05147,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05148,3/19/2025,135041,28 x 9 -15 (7.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05149,3/19/2025,101042,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05150,3/19/2025,101041,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05151,3/19/2025,101041,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05152,3/19/2025,110012,140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP,0
032025-05153,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05154,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05155,3/19/2025,715072,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05156,3/19/2025,716072,18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05157,3/19/2025,720072,21 x 8 x 15 ATIRE RUNNER BAND BLACK TR,0
032025-05158,3/19/2025,704074,14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR,0
032025-05159,3/19/2025,710074,16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05160,3/19/2025,711074,16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR,0
