"id","prev_serial","serial_number","date","tyre_code","description","qty"
"1133","32505183","032025-05183","2025-03-19","125041","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD","0"
"1134","32505184","032025-05184","2025-03-19","119042","6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1135","32505185","032025-05185","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"1136","32505186","032025-05186","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"1137","32505187","032025-05187","2025-03-19","704074","14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR","0"
"1138","32505188","032025-05188","2025-03-19","710074","16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1139","32505189","032025-05189","2025-03-19","711074","16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1140","32505190","032025-05190","2025-03-19","715072","18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1141","32505191","032025-05191","2025-03-19","716072","18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1142","32505192","032025-05192","2025-03-19","720072","21 x 8 x 15 ATIRE RUNNER BAND BLACK TR","0"
"1143","32505193","032025-05193","2025-03-19","101042","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1144","32505194","032025-05194","2025-03-19","712073","16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM","0"
"1145","32505195","032025-05195","2025-03-19","720071","21 x 8 x 15 ATIRE RUNNER BAND BLACK SM","0"
"1146","32505196","032025-05196","2025-03-19","141002","7.00 - 15 (5.50) ACHIEVER BLACK CLIP","0"
"1147","32505197","032025-05197","2025-03-19","110012","140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP","0"
"1148","32505198","032025-05198","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1149","32505199","032025-05199","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1150","32505200","032025-05200","2025-03-19","704074","14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR","0"
"1151","32505201","032025-05201","2025-03-19","710074","16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1152","32505202","032025-05202","2025-03-19","711074","16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1153","32505203","032025-05203","2025-03-19","715072","18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1154","32505204","032025-05204","2025-03-19","716072","18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1155","32505205","032025-05205","2025-03-19","720072","21 x 8 x 15 ATIRE RUNNER BAND BLACK TR","0"
"1156","32505206","032025-05206","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1157","32505207","032025-05207","2025-03-19","103041","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD","0"
"1158","32505208","032025-05208","2025-03-19","104041","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD","0"
"1159","32505209","032025-05209","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1160","32505210","032025-05210","2025-03-19","103041","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD","0"
"1161","32505211","032025-05211","2025-03-19","126041","23 x 10 - 12 (8.00) ATIRE RUNNER SOLID BLACK STD","0"
"1162","32505212","032025-05212","2025-03-19","155051","12.00 - 20 (8.00) ATIRE ROCK SOLID BLACK STD","0"
"1163","32505213","032025-05213","2025-03-19","140051","355/65 - 15 (9.75) ATIRE ROCK SOLID BLACK STD","0"
"1164","32505214","032025-05214","2025-03-19","135053","8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD","0"
"1165","32505215","032025-05215","2025-03-19","135053","8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD","0"
"1166","32505216","032025-05216","2025-03-19","112164","21 x 8 - 9 (6.00) ACHIEVER PLUS (WIDE) NM CLIP","0"
"1167","32505217","032025-05217","2025-03-19","118014","200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP","0"
"1168","32505218","032025-05218","2025-03-19","118014","200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP","0"
"1169","32505219","032025-05219","2025-03-19","119042","6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1170","32505220","032025-05220","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"1171","32505221","032025-05221","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"1172","32505222","032025-05222","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1173","32505223","032025-05223","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1174","32505224","032025-05224","2025-03-19","125041","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD","0"
"1175","32505225","032025-05225","2025-03-19","101042","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1176","32505226","032025-05226","2025-03-19","712073","16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM","0"
"1177","32505227","032025-05227","2025-03-19","720071","21 x 8 x 15 ATIRE RUNNER BAND BLACK SM","0"
"1178","32505228","032025-05228","2025-03-19","110012","140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP","0"
"1179","32505229","032025-05229","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1180","32505230","032025-05230","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1181","32505231","032025-05231","2025-03-19","178044","355/50 - 15 (9.75) ATIRE RUNNER SOLID NM CLIP","0"
"1182","32505232","032025-05232","2025-03-19","704074","14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR","0"
"1183","32505233","032025-05233","2025-03-19","710074","16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1184","32505234","032025-05234","2025-03-19","711074","16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1185","32505235","032025-05235","2025-03-19","715072","18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1186","32505236","032025-05236","2025-03-19","716074","18 x 8 x 12 1/8 ATIRE RUNNER BAND NM TR","0"
"1187","32505237","032025-05237","2025-03-19","720072","21 x 8 x 15 ATIRE RUNNER BAND BLACK TR","0"
"1188","32505238","032025-05238","2025-03-19","103041","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD","0"
"1189","32505239","032025-05239","2025-03-19","103041","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD","0"
"1190","32505240","032025-05240","2025-03-19","104041","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD","0"
"1191","32505241","032025-05241","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1192","32505242","032025-05242","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1193","32505243","032025-05243","2025-03-19","101042","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1194","32505244","032025-05244","2025-03-19","110012","140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP","0"
"1195","32505245","032025-05245","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1196","32505246","032025-05246","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1197","32505247","032025-05247","2025-03-19","126041","23 x 10 - 12 (8.00) ATIRE RUNNER SOLID BLACK STD","0"
"1198","32505248","032025-05248","2025-03-19","712073","16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM","0"
"1199","32505249","032025-05249","2025-03-19","720071","21 x 8 x 15 ATIRE RUNNER BAND BLACK SM","0"
"1200","32505250","032025-05250","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1201","32505251","032025-05251","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1202","32505252","032025-05252","2025-03-19","125041","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD","0"
"1203","32505253","032025-05253","2025-03-19","119042","6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1204","32505254","032025-05254","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"1205","32505255","032025-05255","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"1206","32505256","032025-05256","2025-03-19","704074","14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR","0"
"1207","32505257","032025-05257","2025-03-19","710074","16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1208","32505258","032025-05258","2025-03-19","711074","16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1209","32505259","032025-05259","2025-03-19","170051","14.00 - 24 (10.00) ATIRE ROCK SOLID BLACK STD","0"
"1210","32505260","032025-05260","2025-03-19","112164","21 x 8 - 9 (6.00) ACHIEVER PLUS (WIDE) NM CLIP","0"
"1211","32505261","032025-05261","2025-03-19","118014","200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP","0"
